zone_id,zone_name,zone_type,states,districts,lat_min,lat_max,lon_min,lon_max,season,dominant_crops,suitable_crops_high,suitable_crops_med,suitable_crops_low,typical_soils,rainfall_band,temp_band,key_risks,notes,source_name,source_ref,data_quality
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_KHARIF,Andaman And Nicobar Islands kharif memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars|North And Middle Andaman|South Andamans,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_RABI,Andaman And Nicobar Islands rabi memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars|North And Middle Andaman|South Andamans,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ANDAMAN_AND_NICOBAR_ISLANDS_ZAID,Andaman And Nicobar Islands zaid memory zone,AGROCLIM_CURATED,Andaman And Nicobar Islands,Nicobars|North And Middle Andaman|South Andamans,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ANDHRA_PRADESH_KHARIF,Andhra Pradesh kharif memory zone,AGROCLIM_CURATED,Andhra Pradesh,Alluri Sitharama Raju|Anakapalli|Ananthapuramu|Annamayya|Bapatla|Chittoor|Dr. B.R. Ambedkar Konaseema|East Godavari|Eluru|Guntur|Kakinada|Krishna|Kurnool|Nandyal|Ntr|Palnadu|Parvathipuram Manyam|Prakasam|Sri Potti Sriramulu Nellore|Sri Sathya Sai|Srikakulam|Tirupati|Visakhapatnam|Vizianagaram|West Godavari|Y.S.R. Kadapa,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ANDHRA_PRADESH_RABI,Andhra Pradesh rabi memory zone,AGROCLIM_CURATED,Andhra Pradesh,Alluri Sitharama Raju|Anakapalli|Ananthapuramu|Annamayya|Bapatla|Chittoor|Dr. B.R. Ambedkar Konaseema|East Godavari|Eluru|Guntur|Kakinada|Krishna|Kurnool|Nandyal|Ntr|Palnadu|Parvathipuram Manyam|Prakasam|Sri Potti Sriramulu Nellore|Sri Sathya Sai|Srikakulam|Tirupati|Visakhapatnam|Vizianagaram|West Godavari|Y.S.R. Kadapa,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ANDHRA_PRADESH_ZAID,Andhra Pradesh zaid memory zone,AGROCLIM_CURATED,Andhra Pradesh,Alluri Sitharama Raju|Anakapalli|Ananthapuramu|Annamayya|Bapatla|Chittoor|Dr. B.R. Ambedkar Konaseema|East Godavari|Eluru|Guntur|Kakinada|Krishna|Kurnool|Nandyal|Ntr|Palnadu|Parvathipuram Manyam|Prakasam|Sri Potti Sriramulu Nellore|Sri Sathya Sai|Srikakulam|Tirupati|Visakhapatnam|Vizianagaram|West Godavari|Y.S.R. Kadapa,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ARUNACHAL_PRADESH_KHARIF,Arunachal Pradesh kharif memory zone,AGROCLIM_CURATED,Arunachal Pradesh,Anjaw|Bichom|Changlang|Dibang Valley|East Kameng|East Siang|Kamle|Keyi Panyor|Kra Daadi|Kurung Kumey|Leparada|Lohit|Longding|Lower Dibang Valley|Lower Siang|Lower Subansiri|Namsai|Pakke Kessang|Papum Pare|Shi Yomi|Siang|Tawang|Tirap|Upper Siang|Upper Subansiri|West Kameng|West Siang,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ARUNACHAL_PRADESH_RABI,Arunachal Pradesh rabi memory zone,AGROCLIM_CURATED,Arunachal Pradesh,Anjaw|Bichom|Changlang|Dibang Valley|East Kameng|East Siang|Kamle|Keyi Panyor|Kra Daadi|Kurung Kumey|Leparada|Lohit|Longding|Lower Dibang Valley|Lower Siang|Lower Subansiri|Namsai|Pakke Kessang|Papum Pare|Shi Yomi|Siang|Tawang|Tirap|Upper Siang|Upper Subansiri|West Kameng|West Siang,,,,,rabi,barley|chickpea|mustard|wheat,barley|chickpea|mustard|wheat,lentil|linseed|oat|pea,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,frost,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ARUNACHAL_PRADESH_ZAID,Arunachal Pradesh zaid memory zone,AGROCLIM_CURATED,Arunachal Pradesh,Anjaw|Bichom|Changlang|Dibang Valley|East Kameng|East Siang|Kamle|Keyi Panyor|Kra Daadi|Kurung Kumey|Leparada|Lohit|Longding|Lower Dibang Valley|Lower Siang|Lower Subansiri|Namsai|Pakke Kessang|Papum Pare|Shi Yomi|Siang|Tawang|Tirap|Upper Siang|Upper Subansiri|West Kameng|West Siang,,,,,zaid,cucumber|muskmelon|watermelon,cucumber|muskmelon|watermelon,fodder_maize|sunflower,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,heat,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
AGROCLIM_ASSAM_KHARIF,Assam kharif memory zone,AGROCLIM_CURATED,Assam,Bajali|Baksa|Barpeta|Biswanath|Bongaigaon|Cachar|Charaideo|Chirang|Darrang|Dhemaji|Dhubri|Dibrugarh|Dima Hasao|Goalpara|Golaghat|Hailakandi|Hojai|Jorhat|Kamrup|Kamrup Metro|Karbi Anglong|Kokrajhar|Lakhimpur|Majuli|Marigaon|Nagaon|Nalbari|Sivasagar|Sonitpur|South Salmara Mancachar|Sribhumi|Tamulpur|Tinsukia|Udalguri|West Karbi Anglong,,,,,kharif,cotton|groundnut|jute|maize|pigeonpea|rice,cotton|groundnut|jute|maize|pigeonpea|rice|soybean,bajra|blackgram|greengram|sesame|sorghum,,See row-level evidence_text and source_ref in exploded CSV,medium,moderate,drought|flood,"Compiled zone-memory dataset from official India agriculture portals; district assignment is localization metadata, not district-level agronomy proof.",Compiled from cited official source rows,See exploded CSV source_ref,incomplete
