state,district,source_name,source_ref
Punjab,Punjab,LGD administrative reference,https://lgdirectory.gov.in
West Bengal,West Bengal,LGD administrative reference,https://lgdirectory.gov.in
Haryana,Haryana,LGD administrative reference,https://lgdirectory.gov.in
Uttar Pradesh,Uttar Pradesh,LGD administrative reference,https://lgdirectory.gov.in
Bihar,Bihar,LGD administrative reference,https://lgdirectory.gov.in
Rajasthan,Rajasthan,LGD administrative reference,https://lgdirectory.gov.in
Gujarat,Gujarat,LGD administrative reference,https://lgdirectory.gov.in
Madhya Pradesh,Madhya Pradesh,LGD administrative reference,https://lgdirectory.gov.in
Maharashtra,Maharashtra,LGD administrative reference,https://lgdirectory.gov.in
Tamil Nadu,Tamil Nadu,LGD administrative reference,https://lgdirectory.gov.in
Kerala,Kerala,LGD administrative reference,https://lgdirectory.gov.in
Karnataka,Karnataka,LGD administrative reference,https://lgdirectory.gov.in
Andhra Pradesh,Andhra Pradesh,LGD administrative reference,https://lgdirectory.gov.in
Telangana,Telangana,LGD administrative reference,https://lgdirectory.gov.in
Odisha,Odisha,LGD administrative reference,https://lgdirectory.gov.in
Chhattisgarh,Chhattisgarh,LGD administrative reference,https://lgdirectory.gov.in
Jharkhand,Jharkhand,LGD administrative reference,https://lgdirectory.gov.in
Assam,Assam,LGD administrative reference,https://lgdirectory.gov.in
Arunachal Pradesh,Arunachal Pradesh,LGD administrative reference,https://lgdirectory.gov.in
Sikkim,Sikkim,LGD administrative reference,https://lgdirectory.gov.in
Meghalaya,Meghalaya,LGD administrative reference,https://lgdirectory.gov.in
Tripura,Tripura,LGD administrative reference,https://lgdirectory.gov.in
Nagaland,Nagaland,LGD administrative reference,https://lgdirectory.gov.in
Manipur,Manipur,LGD administrative reference,https://lgdirectory.gov.in
Mizoram,Mizoram,LGD administrative reference,https://lgdirectory.gov.in
Himachal Pradesh,Himachal Pradesh,LGD administrative reference,https://lgdirectory.gov.in
Uttarakhand,Uttarakhand,LGD administrative reference,https://lgdirectory.gov.in
Jammu and Kashmir,Jammu and Kashmir,LGD administrative reference,https://lgdirectory.gov.in
Ladakh,Ladakh,LGD administrative reference,https://lgdirectory.gov.in
Goa,Goa,LGD administrative reference,https://lgdirectory.gov.in
Delhi,Delhi,LGD administrative reference,https://lgdirectory.gov.in
Puducherry,Puducherry,LGD administrative reference,https://lgdirectory.gov.in
Chandigarh,Chandigarh,LGD administrative reference,https://lgdirectory.gov.in
Andaman and Nicobar Islands,Andaman and Nicobar Islands,LGD administrative reference,https://lgdirectory.gov.in
Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu,LGD administrative reference,https://lgdirectory.gov.in
Lakshadweep,Lakshadweep,LGD administrative reference,https://lgdirectory.gov.in
