season,crop,suitability,crop_family,key_risks,evidence_text,source_name,source_ref,data_quality
kharif,rice,HIGH,cereal,flood|drought,"Rice package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/rice,incomplete
kharif,maize,HIGH,cereal,drought,"Maize package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/maize,incomplete
kharif,cotton,HIGH,fiber,drought,"Cotton package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/fibres-1/cotton,incomplete
kharif,soybean,HIGH,oilseed,drought,"Soybean package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/oilseeds-1/soybean,incomplete
kharif,pigeonpea,HIGH,pulse,drought,"Pigeonpea package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/pigeonpea,incomplete
kharif,groundnut,HIGH,oilseed,drought,"Groundnut package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/oilseeds-1/groundnut,incomplete
kharif,jute,HIGH,fiber,flood,"Jute package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/fibres-1/jute,incomplete
kharif,sorghum,MED,cereal,drought,"Sorghum package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/sorghum,incomplete
kharif,bajra,MED,cereal,drought,"Pearl millet package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/bajra,incomplete
kharif,blackgram,MED,pulse,drought,"Blackgram package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/blackgram,incomplete
kharif,greengram,MED,pulse,drought,"Greengram package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/greengram,incomplete
kharif,sesame,MED,oilseed,drought,"Sesame package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/oilseeds-1/sesame,incomplete
rabi,wheat,HIGH,cereal,frost,"Wheat package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/wheat,incomplete
rabi,barley,HIGH,cereal,frost,"Barley package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/barley,incomplete
rabi,chickpea,HIGH,pulse,frost,"Chickpea package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/chickpea,incomplete
rabi,mustard,HIGH,oilseed,frost,"Mustard package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/oilseeds-1/mustard,incomplete
rabi,lentil,MED,pulse,frost,"Lentil package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/lentil,incomplete
rabi,linseed,MED,oilseed,frost,"Linseed package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/oilseeds-1/linseed,incomplete
rabi,oat,MED,cereal,frost,"Oat package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/oat,incomplete
rabi,pea,MED,pulse,frost,"Pea package-of-practices page used as season reference on Government Vikaspedia portal.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/pulses/pea,incomplete
zaid,watermelon,HIGH,horticulture,heat,"Watermelon seasonal cultivation guidance references summer (zaid) window.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/horticulture/watermelon,incomplete
zaid,muskmelon,HIGH,horticulture,heat,"Muskmelon seasonal cultivation guidance references summer (zaid) window.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/horticulture/muskmelon,incomplete
zaid,cucumber,HIGH,horticulture,heat,"Cucumber seasonal cultivation guidance references summer (zaid) window.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/horticulture/cucumber,incomplete
zaid,fodder_maize,MED,cereal,heat,"Fodder maize seasonal cultivation guidance references short summer window.",Vikaspedia (MeitY/C-DAC Government Knowledge Portal),https://en.vikaspedia.in/agriculture/crop-production/package-of-practices/cereals-1/maize,incomplete
