region,month,crop,suitability
global,1,wheat,0.90
global,1,rice,0.35
global,1,maize,0.50
global,1,cotton,0.30
global,1,jute,0.25
global,2,wheat,0.88
global,2,rice,0.40
global,2,maize,0.55
global,2,cotton,0.35
global,2,jute,0.30
global,3,wheat,0.70
global,3,rice,0.55
global,3,maize,0.75
global,3,cotton,0.55
global,3,jute,0.45
global,4,wheat,0.55
global,4,rice,0.70
global,4,maize,0.82
global,4,cotton,0.65
global,4,jute,0.60
global,5,wheat,0.40
global,5,rice,0.82
global,5,maize,0.88
global,5,cotton,0.78
global,5,jute,0.72
global,6,wheat,0.30
global,6,rice,0.92
global,6,maize,0.90
global,6,cotton,0.85
global,6,jute,0.84
global,7,wheat,0.28
global,7,rice,0.95
global,7,maize,0.88
global,7,cotton,0.82
global,7,jute,0.90
global,8,wheat,0.30
global,8,rice,0.94
global,8,maize,0.86
global,8,cotton,0.79
global,8,jute,0.88
global,9,wheat,0.45
global,9,rice,0.84
global,9,maize,0.80
global,9,cotton,0.70
global,9,jute,0.72
global,10,wheat,0.72
global,10,rice,0.62
global,10,maize,0.68
global,10,cotton,0.52
global,10,jute,0.50
global,11,wheat,0.86
global,11,rice,0.45
global,11,maize,0.58
global,11,cotton,0.36
global,11,jute,0.30
global,12,wheat,0.92
global,12,rice,0.35
global,12,maize,0.50
global,12,cotton,0.30
global,12,jute,0.24
