run_dir,has_required_files,missing_files,zone_resolution,geocode_called,zone_consistent_with_icar_zone_match,rag_queries_count,rag_hits_count,rag_hits_nonempty_when_queries_present,authentic_source_ref_ratio,compiled_notes_hits,validation_valid,llm_response_nonempty,fallback_warning_present,rerank_conflict_present
2026-02-15T10-42-54Z__req_90f59bdc,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-43-54Z__req_bc077a8b,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-44-14Z__req_4b26d874,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-44-55Z__req_47c82a87,True,,state,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-45-15Z__req_42aebaf2,True,,state,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-45-34Z__req_7cf9bbf1,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-46-05Z__req_2823096b,True,,unknown,False,True,0,0,True,1.0,0,False,True,True,False
2026-02-15T10-46-30Z__req_87f81fa4,True,,district,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-46-51Z__req_046fb22d,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-47-11Z__req_89bda0e2,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-47-41Z__req_439b22b1,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-50-05Z__req_85234c4e,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-50-27Z__req_1f499489,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-51-05Z__req_8e89a637,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-51-28Z__req_223b368c,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-52-02Z__req_c81580bc,True,,district,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-52-38Z__req_b30cbda6,True,,unknown,False,True,0,0,True,1.0,0,False,True,True,False
2026-02-15T10-52-50Z__req_ba1632db,True,,district,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-53-13Z__req_0316bc40,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-53-25Z__req_06dac300,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-53-54Z__req_bba25ce5,True,,district,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-54-18Z__req_8be680e0,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-54-46Z__req_d3f0f45f,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-54-57Z__req_4eb7ecfc,True,,district,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-55-19Z__req_5a23ac84,True,,state,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-55-47Z__req_bece5110,True,,district,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-56-07Z__req_bbd18a6f,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-56-27Z__req_faf86ca2,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-56-42Z__req_f6c8985d,True,,unknown,False,True,0,0,True,1.0,0,False,True,True,False
2026-02-15T10-56-58Z__req_546fb825,True,,state,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-57-27Z__req_71128b28,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-57-53Z__req_798a742e,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-58-19Z__req_c10a32c9,True,,state,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-58-30Z__req_73bea6dd,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-59-00Z__req_e387eb04,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-59-32Z__req_3fd26bd3,True,,state,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T10-59-53Z__req_6133705b,True,,district,True,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T11-00-07Z__req_f27e4e05,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T11-00-38Z__req_207f8285,True,,unknown,False,True,0,0,True,1.0,0,False,True,True,False
2026-02-15T11-01-17Z__req_5996888a,True,,unknown,False,True,9,12,True,1.0,0,False,True,True,False
2026-02-15T11-01-36Z__req_b2d73942,True,,state,True,True,9,12,True,1.0,0,False,True,True,False
